time_id,month_code,month
0,1983-01,1983-01
1,1983-02,1983-02
2,1983-03,1983-03
3,1983-04,1983-04
4,1983-05,1983-05
5,1983-06,1983-06
6,1983-07,1983-07
7,1983-08,1983-08
8,1983-09,1983-09
9,1983-10,1983-10
10,1983-11,1983-11
11,1983-12,1983-12
12,1984-01,1984-01
13,1984-02,1984-02
14,1984-03,1984-03
15,1984-04,1984-04
16,1984-05,1984-05
17,1984-06,1984-06
18,1984-07,1984-07
19,1984-08,1984-08
20,1984-09,1984-09
21,1984-10,1984-10
22,1984-11,1984-11
23,1984-12,1984-12
24,1985-01,1985-01
25,1985-02,1985-02
26,1985-03,1985-03
27,1985-04,1985-04
28,1985-05,1985-05
29,1985-06,1985-06
30,1985-07,1985-07
31,1985-08,1985-08
32,1985-09,1985-09
33,1985-10,1985-10
34,1985-11,1985-11
35,1985-12,1985-12
36,1986-01,1986-01
37,1986-02,1986-02
38,1986-03,1986-03
39,1986-04,1986-04
40,1986-05,1986-05
41,1986-06,1986-06
42,1986-07,1986-07
43,1986-08,1986-08
44,1986-09,1986-09
45,1986-10,1986-10
46,1986-11,1986-11
47,1986-12,1986-12
48,1987-01,1987-01
49,1987-02,1987-02
50,1987-03,1987-03
51,1987-04,1987-04
52,1987-05,1987-05
53,1987-06,1987-06
54,1987-07,1987-07
55,1987-08,1987-08
56,1987-09,1987-09
57,1987-10,1987-10
58,1987-11,1987-11
59,1987-12,1987-12
60,1988-01,1988-01
61,1988-02,1988-02
62,1988-03,1988-03
63,1988-04,1988-04
64,1988-05,1988-05
65,1988-06,1988-06
66,1988-07,1988-07
67,1988-08,1988-08
68,1988-09,1988-09
69,1988-10,1988-10
70,1988-11,1988-11
71,1988-12,1988-12
72,1989-01,1989-01
73,1989-02,1989-02
74,1989-03,1989-03
75,1989-04,1989-04
76,1989-05,1989-05
77,1989-06,1989-06
78,1989-07,1989-07
79,1989-08,1989-08
80,1989-09,1989-09
81,1989-10,1989-10
82,1989-11,1989-11
83,1989-12,1989-12
84,1990-01,1990-01
85,1990-02,1990-02
86,1990-03,1990-03
87,1990-04,1990-04
88,1990-05,1990-05
89,1990-06,1990-06
90,1990-07,1990-07
91,1990-08,1990-08
92,1990-09,1990-09
93,1990-10,1990-10
94,1990-11,1990-11
95,1990-12,1990-12
96,1991-01,1991-01
97,1991-02,1991-02
98,1991-03,1991-03
99,1991-04,1991-04
100,1991-05,1991-05
101,1991-06,1991-06
102,1991-07,1991-07
103,1991-08,1991-08
104,1991-09,1991-09
105,1991-10,1991-10
106,1991-11,1991-11
107,1991-12,1991-12
108,1992-01,1992-01
109,1992-02,1992-02
110,1992-03,1992-03
111,1992-04,1992-04
112,1992-05,1992-05
113,1992-06,1992-06
114,1992-07,1992-07
115,1992-08,1992-08
116,1992-09,1992-09
117,1992-10,1992-10
118,1992-11,1992-11
119,1992-12,1992-12
120,1993-01,1993-01
121,1993-02,1993-02
122,1993-03,1993-03
123,1993-04,1993-04
124,1993-05,1993-05
125,1993-06,1993-06
126,1993-07,1993-07
127,1993-08,1993-08
128,1993-09,1993-09
129,1993-10,1993-10
130,1993-11,1993-11
131,1993-12,1993-12
132,1994-01,1994-01
133,1994-02,1994-02
134,1994-03,1994-03
135,1994-04,1994-04
136,1994-05,1994-05
137,1994-06,1994-06
138,1994-07,1994-07
139,1994-08,1994-08
140,1994-09,1994-09
141,1994-10,1994-10
